```csv
Timestamp,Host,Event ID,Source,Action,Description,Source IP,Destination IP,Process Name,User
2026-06-10T06:15:23.900Z,DC,7036,System,Service Started,"PSEXESVC service entered running state",,,PSEXESVC.exe,NATION\Administrator
2026-06-10T06:15:24.123Z,DC,4688,Windows Security,Process Created,"PSEXESVC.exe launched with execution parameters",,,PSEXESVC.exe,NATION\Administrator
2026-06-10T06:15:24.200Z,DC,4688,Windows Security,Process Created,"cmd.exe executed whoami for session verification",,,cmd.exe,NATION\Administrator
2026-06-10T06:15:24.300Z,DC,4688,Windows Security,Process Created,"cmd.exe executed hostname for environment verification",,,cmd.exe,NATION\Administrator
2026-06-10T06:15:30.000Z,DC,1,Sysmon,Process Creation,"PSEXESVC.exe observed under services.exe",,,PSEXESVC.exe,NATION\Administrator
2026-06-10T06:25:09.000Z,Kali,N/A,HTTP Server,HTTP Request,"HTTP request received for beacon.exe",192.168.1.5,192.168.1.10,python3,root
2026-06-10T06:25:09.123Z,DC,4688,Windows Security,Process Created,"certutil.exe downloaded beacon.exe via HTTP",,,certutil.exe,NATION\Administrator
2026-06-10T06:25:09.456Z,DC,3,Sysmon,Network Connection,"Outbound HTTP connection to 192.168.1.5:8080",192.168.1.10,192.168.1.5,certutil.exe,NATION\Administrator
2026-06-10T06:25:09.789Z,DC,11,Sysmon,File Created,"beacon.exe created in C:\Users\Public",,,beacon.exe,NATION\Administrator
2026-06-10T06:25:10.000Z,DC,4688,Windows Security,Process Created,"beacon.exe executed from C:\Users\Public",,,beacon.exe,NATION\Administrator
2026-06-10T06:25:10.123Z,DC,1,Sysmon,Process Creation,"beacon.exe started with cmd.exe as parent",,,beacon.exe,NATION\Administrator
2026-06-10T06:25:10.456Z,DC,3,Sysmon,Network Connection,"Initial outbound C2 connection to 192.168.1.5:8081",192.168.1.10,192.168.1.5,beacon.exe,NATION\Administrator
2026-06-10T06:25:10.789Z,DC,3,Sysmon,Network Connection,"Second outbound C2 beacon",192.168.1.10,192.168.1.5,beacon.exe,NATION\Administrator
2026-06-10T06:25:15.789Z,DC,3,Sysmon,Network Connection,"Periodic C2 beacon check-in",192.168.1.10,192.168.1.5,beacon.exe,NATION\Administrator
2026-06-10T06:25:20.012Z,DC,3,Sysmon,Network Connection,"Periodic C2 beacon check-in",192.168.1.10,192.168.1.5,beacon.exe,NATION\Administrator
2026-06-10T06:25:30.123Z,DC,3,Sysmon,Network Connection,"Periodic C2 beacon check-in",192.168.1.10,192.168.1.5,beacon.exe,NATION\Administrator
2026-06-10T06:25:40.456Z,DC,3,Sysmon,Network Connection,"Periodic C2 beacon check-in",192.168.1.10,192.168.1.5,beacon.exe,NATION\Administrator
```
